idhh	idorighh	dwt	drgur	ils_origy	yem	yse	yiy	ypt	yprrt	poa	bun_s	tin_s	tscee_s	tscse_s	tscot_s	tscer_s	ils_dispy	bot_s	bfa02_s	bdioa_s	bchmt_s	ils_benmt	ils_bennt	ils_ben	ils_bensim	ils_tax	ils_taxsim	ils_sicdy	ils_pen
490	0	1	0	4880	4880	0	0	0	0	0	0	168,48	519,38	0	0	976	4192,14	0	0	0	0	0	0	0	0	168,48	168,48	1495,38	0
491	0	1	0	4890	4890	0	0	0	0	0	0	169,51	520,78	0	0	978	4199,71	0	0	0	0	0	0	0	0	169,51	169,51	1498,78	0
492	0	1	0	4900	4900	0	0	0	0	0	0	170,54	522,18	0	0	980	4207,28	0	0	0	0	0	0	0	0	170,54	170,54	1502,18	0
493	0	1	0	4910	4910	0	0	0	0	0	0	171,57	523,58	0	0	982	4214,85	0	0	0	0	0	0	0	0	171,57	171,57	1505,58	0
494	0	1	0	4920	4920	0	0	0	0	0	0	172,61	524,98	0	0	984	4222,42	0	0	0	0	0	0	0	0	172,61	172,61	1508,98	0
495	0	1	0	4930	4930	0	0	0	0	0	0	173,64	526,38	0	0	986	4229,98	0	0	0	0	0	0	0	0	173,64	173,64	1512,38	0
496	0	1	0	4940	4940	0	0	0	0	0	0	174,67	527,78	0	0	988	4237,55	0	0	0	0	0	0	0	0	174,67	174,67	1515,78	0
497	0	1	0	4950	4950	0	0	0	0	0	0	175,7	529,18	0	0	990	4245,12	0	0	0	0	0	0	0	0	175,7	175,7	1519,18	0
498	0	1	0	4960	4960	0	0	0	0	0	0	176,73	530,58	0	0	992	4252,69	0	0	0	0	0	0	0	0	176,73	176,73	1522,58	0
499	0	1	0	4970	4970	0	0	0	0	0	0	177,77	531,98	0	0	994	4260,26	0	0	0	0	0	0	0	0	177,77	177,77	1525,98	0
500	0	1	0	4980	4980	0	0	0	0	0	0	178,8	533,38	0	0	996	4267,82	0	0	0	0	0	0	0	0	178,8	178,8	1529,38	0
501	0	1	0	4990	4990	0	0	0	0	0	0	179,83	534,78	0	0	998	4275,39	0	0	0	0	0	0	0	0	179,83	179,83	1532,78	0
502	0	1	0	5000	5000	0	0	0	0	0	0	180,86	536,18	0	0	1000	4282,96	0	0	0	0	0	0	0	0	180,86	180,86	1536,18	0
