idhh	dwt	ils_dispy	ils_origy	ils_ben	ils_bensim	ils_tax	ils_taxsim	ils_sicee	ils_sicer	ils_sicse
263	676,67	9557,29	11126,86	-3	0	1010,03	1010,03	556,54	1113,09	0
264	676,67	3742,72	4042,59	-3	0	94,49	94,49	202,38	404,76	0
265	456,03	305,16	346,64	-3	0	0	0	4,52	9,04	33,96
266	456,03	1909,5	-6	1915,5	0	0	0	0	0	0
267	456,03	167,49	179,73	-3	0	0	0	9,24	18,47	0
268	456,03	847,16	939,54	-3	0	0	0	20,88	41,76	68,5
269	456,03	2863,54	3062,14	-5	0	0	0	128,44	256,89	65,16
270	456,03	1537,63	1707,65	-4	0	0	0	35,55	71,1	130,47
271	456,03	1422,17	1500,44	-3	0	0	0	75,27	150,54	0
272	456,03	938,4	-2	940,4	0	0	0	0	0	0
273	456,03	293,93	333,21	-2	0	0	0	4,01	8,03	33,27
274	2071,04	2787,53	1951,15	934,44	0	0	0	98,06	196,12	0
275	2071,04	4719,23	793	3976,24	0	10,01	10,01	40	80	0
276	594,68	1151,41	1329,25	-4	0	0	0	0	0	173,84
277	594,68	1753,87	936,57	939,57	0	0	0	0	0	122,27
278	594,68	502,07	584,33	-5	0	0	0	0	0	77,26
279	594,68	942,99	-2	944,99	0	0	0	0	0	0
280	594,68	1489,53	1614,21	-4	0	0	0	56,3	112,59	64,39
281	594,68	5114,16	4756,22	945,96	0	5,47	5,47	0	0	582,54
282	431,2	41591,83	55253,77	-1	0	13335,94	13335,94	0	0	325
283	431,2	980,59	25,3	956,75	0	0	0	1,47	2,93	0
284	431,2	3295,31	3503,68	-5	0	27,74	27,74	175,63	351,27	0
285	431,2	14497,88	15050,35	2822,07	0	2621,82	2621,82	752,72	1505,44	0
286	431,2	1811,18	927,04	933,38	0	0	0	45,11	90,23	4,13
287	431,2	7553,39	8207,58	-4	0	239,51	239,51	410,68	821,36	0
288	516,73	2110,59	271,74	1874,56	0	0	0	0	0	35,72
289	516,73	1378,16	1591,33	-5	0	0	0	0	0	208,17
290	516,73	8232,02	9004,5	-4	0	318,1	318,1	450,38	900,75	0
291	516,73	1749,5	914,67	954	0	0	0	0	0	119,17
292	516,73	9346,91	9430	953	0	539,49	539,49	171,6	343,2	325
293	516,73	3117,41	2436,18	950	0	0	0	30,44	60,88	238,33
294	516,73	952	-2	954	0	0	0	0	0	0
295	516,73	2109,6	2224	-3	0	0	0	111,4	222,8	0
296	516,73	432	498	-1	0	0	0	0	0	65
297	434,38	2552,44	2687,88	-1	0	0	0	134,44	268,89	0
298	434,38	2878,61	-3	2881,61	0	0	0	0	0	0
299	434,38	3650,37	4098,51	-3	0	0	0	55,2	110,4	389,94
300	434,38	1907,88	-1	1908,88	0	0	0	0	0	0
301	434,38	1254,66	1426,11	-2	0	0	0	10,21	20,42	159,24
302	434,38	3790,13	4078,16	-3	0	80,87	80,87	204,16	408,32	0
303	434,38	1384,14	475,82	932,46	0	0	0	24,14	48,28	0
304	731,99	1520,07	1603,44	-3	0	0	0	80,37	160,74	0
305	731,99	2053,22	2188,93	-2	0	0	0	94,53	189,05	39,18
306	731,99	535,36	618,25	-2	0	0	0	0	0	80,89
307	731,99	10023,96	11018,59	-5	0	400,97	400,97	527,76	1055,51	60,9
308	731,99	1041,4	112,66	936,13	0	0	0	5,1	10,21	2,29
309	731,99	3505,47	3695,59	-5	0	0,04	0,04	185,08	370,16	0
310	876,69	637,27	674,18	-3	0	0	0	33,91	67,82	0
311	876,69	3438,38	2631,77	938,4	0	0	0	131,79	263,58	0
312	876,69	1245,59	1313,41	-2	0	0	0	65,82	131,64	0
313	876,69	1566,09	344,63	1239,04	301,64	0	0	17,58	35,16	0
314	876,69	997,71	1053,81	-1	0	0	0	51,18	102,37	3,91
315	876,69	2817,2	-4	2821,2	0	0	0	0	0	0
316	316,7	1716,47	1855,61	-2	0	0	0	65,3	130,61	71,83
317	316,7	2518,49	2671,19	-5	0	0	0	125,45	250,91	22,25
318	316,7	4803,22	5073,68	-3	0	8,93	8,93	250,91	501,81	7,61
319	316,7	1786,52	989,62	927,37	0	0	0	0	0	130,47
320	316,7	2245,99	1464,37	972,51	0	0	0	0	0	190,89
321	657,94	475,92	503,23	-2	0	0	0	25,31	50,62	0
322	657,94	1332,58	1408,45	-5	0	0	0	70,87	141,75	0
323	657,94	-6	-4	-2	0	0	0	0	0	0
324	657,94	3172,03	1342,52	1897,04	0	0	0	67,53	135,05	0
325	657,94	4014,09	4254,34	-3	0	24,34	24,34	212,92	425,83	0
326	657,94	3962,73	4328,73	-5	0	0	0	126,74	253,47	234,26
327	657,94	946,15	-2	948,15	0	0	0	0	0	0
328	657,94	1885,09	1988,78	-4	0	0	0	99,69	199,38	0
329	657,94	1053,42	1212,28	-1	0	0	0	0	0	157,86
330	430,72	-9	-6	-3	0	0	0	0	0	0
331	430,72	-12	-8	-4	0	0	0	0	0	0
332	430,72	-12	-8	-4	0	0	0	0	0	0
333	430,72	1187,98	1354,14	-2	0	0	0	7,59	15,18	156,57
334	430,72	-12	-8	-4	0	0	0	0	0	0
335	430,72	2833,34	950,44	1882,9	0	0	0	0	0	0
336	430,72	3942,72	4231,06	-3	0	0	0	165,6	331,2	119,74
337	430,72	6424,04	7284,97	-5	0	458,01	458,01	3,35	6,69	394,58
338	430,72	374,23	397,35	-3	0	0	0	20,12	40,24	0
339	589,81	941,44	-1	942,44	0	0	0	0	0	0
340	589,81	3605,57	2994,61	941,5	0	5,54	5,54	0	0	325
341	589,81	2085,43	2199,72	-4	0	0	0	110,29	220,57	0
342	589,81	896,55	946	-2	0	0	0	47,45	94,9	0
343	589,81	1096,21	1159,96	-4	0	0	0	57,47	114,95	2,27
344	589,81	1356,36	187,91	1194,44	0	0	0	0	0	25,99
345	589,81	1738,94	1833,83	-3	0	0	0	91,89	183,78	0
346	589,81	1656,45	1749,37	-5	0	0	0	87,92	175,84	0
347	674,79	2880,98	3209,89	-3	0	0,91	0,91	0	0	325
348	674,79	284,33	300,4	-1	0	0	0	15,07	30,14	0
349	674,79	947,39	-2	949,39	0	0	0	0	0	0
350	674,79	973,58	21,49	953,77	0	0	0	1,67	3,35	0
351	674,79	1714,86	1835,73	-7	0	0	0	79,04	158,08	34,83
352	674,79	1291,09	1361,26	-2	0	0	0	68,16	136,33	0
353	674,79	2131,66	1329,07	936,4	0	0	0	25,09	50,17	108,73
354	674,79	2303,09	2428,78	-4	0	0	0	121,69	243,38	0
355	548,98	3125,37	3471,07	-4	0	16,7	16,7	0	0	325
356	548,98	1911,26	-4	1915,26	0	0	0	0	0	0
357	548,98	1619,54	698,26	956,44	0	0	0	35,16	70,33	0
358	548,98	2590,68	2734,92	-5	0	0,45	0,45	136,2	272,4	2,59
359	475,71	942,02	-6	948,02	0	0	0	0	0	0
360	475,71	19,99	27,32	-3	0	0	0	0	0	4,33
361	475,71	477,74	392,81	104,92	108,92	0	0	19,99	39,98	0
362	475,71	1255,61	355,83	946,56	0	0	0	0	0	46,78
363	475,71	211,66	223,91	-1	0	0	0	11,25	22,49	0
364	475,71	1951,71	537,75	1485,43	553,86	0	0	0	0	71,47
365	623,36	2556,6	1489,03	1142,12	0	0	0	74,55	149,1	0
366	623,36	2431,95	2563,32	-3	0	0	0	128,37	256,73	0
367	623,36	1324,33	1398,51	-4	0	0	0	70,18	140,35	0
368	623,36	11670,11	11092,21	2012,79	0	880,18	880,18	554,71	1109,42	0
369	623,36	-9	-6	-3	0	0	0	0	0	0
370	623,36	3384,52	3741,36	-2	0	15,97	15,97	13,87	27,74	325
371	593,36	1561,58	1648,29	-4	0	0	0	82,71	165,43	0
372	593,36	3480,05	4004,4	-3	0	0	0	0	0	521,35
373	593,36	3442,45	3818,25	-4	0	5,44	5,44	41,36	82,73	325
