idhh	dwt	ils_dispy	ils_origy	ils_ben	ils_bensim	ils_tax	ils_taxsim	ils_sicee	ils_sicer	ils_sicse	ils_bennt
209	427,73	1958,09	-6	1964,09	1368,09	0	0	0	0	0	768,09
210	427,73	1495	793	742	1350	0	0	40	80	0	750
211	427,73	2117,5	1446	744	1350	0	0	72,5	145	0	750
212	427,73	1883	1197	746	1350	0	0	60	120	0	750
213	1038,2	2947,94	3138,82	-10	0	0	0	142,55	285,09	38,34	0
214	1038,2	1307,44	-4	1311,44	683,04	0	0	0	0	0	383,04
215	1038,2	3327,49	1474	2046,15	2025	0	0	0	0	192,66	1125
216	1038,2	4371,75	4619,88	-8	0	8,98	8,98	231,14	462,29	0	0
217	1038,2	2034,67	1481,83	746	1350	0	0	0	0	193,16	750
218	1038,2	1804,18	-4	1808,18	8,04	0	0	0	0	0	8,04
219	475,11	2825,43	1796,5	1119	2025	0	0	90,08	180,15	0	1125
220	475,11	1904,59	2196,83	-6	0	0	0	0	0	286,24	0
221	475,11	1602,78	988	744	1350	0	0	0	0	129,22	750
222	475,11	1313,82	-4	1317,82	683,04	0	0	0	0	0	383,04
223	475,11	4069,47	4495,75	-8	0	93,28	93,28	0	0	325	0
224	475,11	3687,8	2032	1921	0	0	0	0	0	265,2	0
225	475,11	1977,98	1421,72	742	1350	0	0	0	0	185,73	750
226	475,11	1202,09	160,67	1063,09	1669,09	0	0	0	0	21,67	1069,09
227	475,11	1863,5	1244	742	1350	0	0	25	50	97,5	750
228	260,4	4764,61	5255,36	-8	0	45,38	45,38	112,37	224,74	325	0
229	260,4	1706,21	-6	1712,21	1368,09	0	0	0	0	0	768,09
230	260,4	1347,33	1495,06	-6	0	0	0	33,22	66,44	108,51	0
231	260,4	4893,99	3476,12	1870,68	0	0	0	0	0	452,81	0
232	260,4	940,37	-2	942,37	2,01	0	0	0	0	0	2,01
233	260,4	373,01	-2	375,01	677,01	0	0	0	0	0	377,01
234	260,4	2321,1	1565,34	933,4	0	0	0	16,73	33,45	160,91	0
235	260,4	5920,75	5916,38	386,83	0	265,04	265,04	0	0	117,42	0
236	433,74	1695,11	-6	1701,11	675	0	0	0	0	0	375
237	433,74	14791,2	6698,59	11000,17	0	2572,28	2572,28	335,28	670,56	0	0
238	433,74	2793,08	2751,33	367	675	0	0	0,25	0,5	325	375
239	433,74	8025,16	9003,51	-6	0	521,97	521,97	450,38	900,75	0	0
240	433,74	4624,72	2992	1902,59	0	0	0	75	150	194,87	0
241	433,74	3593,37	3945	-6	0	27,13	27,13	0	0	318,5	0
242	433,74	25107,58	33137,31	-6	0	7698,73	7698,73	0	0	325	0
243	812,32	4842,77	5285,41	-10	0	47,81	47,81	189,66	379,32	195,16	0
244	812,32	2687,15	1932	932	0	0	0	46,85	93,7	130	0
245	812,32	3368,47	-3	3403,04	6,04	31,57	31,57	0	0	0	6,04
246	812,32	1860,81	955,28	953,39	0	0	0	47,86	95,73	0	0
247	443,38	1639,88	943,29	744	1350	0	0	47,41	94,83	0	750
248	443,38	2486,36	2001,01	746	1350	0	0	0	0	260,65	750
249	443,38	657,71	299,75	373	675	0	0	15,04	30,08	0	375
250	443,38	944	-2	946	2,01	0	0	0	0	0	2,01
251	443,38	2242,05	1974,11	367	675	0	0	99,06	198,11	0	375
252	514,67	1870,59	-4	1874,59	8,04	0	0	0	0	0	8,04
253	514,67	414,66	48,18	373	675	0	0	0	0	6,52	375
254	514,67	13088,48	15034,98	-4	0	1292,5	1292,5	0	0	650	0
255	514,67	1606,4	1307,21	365	675	0	0	65,81	131,62	0	375
256	514,67	5351,51	5992	-4	0	311,49	311,49	0	0	325	0
257	514,67	2523,03	1547,58	1117	2025	0	0	37,6	75,2	103,95	1125
258	514,67	3602,15	3800,47	-8	0	0	0	190,32	380,65	0	0
259	514,67	1498,32	146,7	1371,21	737,64	0	0	0	0	19,59	437,64
260	514,67	3185,36	1121,84	2210,14	675	0	0	0	0	146,62	375
261	676,67	6293,66	4689,83	1864,14	0	65,4	65,4	194,91	389,82	0	0
262	676,67	2549,6	2688	-4	0	0	0	134,4	268,8	0	0
263	676,67	9554,29	11126,86	-6	0	1010,03	1010,03	556,54	1113,09	0	0
264	676,67	3739,72	4042,59	-6	0	94,49	94,49	202,38	404,76	0	0
265	456,03	1052,16	346,64	744	1350	0	0	4,52	9,04	33,96	750
266	456,03	2674,59	-6	2680,59	1368,09	0	0	0	0	0	768,09
267	456,03	1176,4	179,73	1005,91	1611,91	0	0	9,24	18,47	0	1011,91
268	456,03	1969,16	939,54	1119	2025	0	0	20,88	41,76	68,5	1125
269	456,03	2858,54	3062,14	-10	0	0	0	128,44	256,89	65,16	0
270	456,03	2283,63	1707,65	742	1350	0	0	35,55	71,1	130,47	750
271	456,03	2169,17	1500,44	744	1350	0	0	75,27	150,54	0	750
272	456,03	939,41	-2	941,41	2,01	0	0	0	0	0	2,01
273	456,03	1041,93	333,21	746	1350	0	0	4,01	8,03	33,27	750
274	2071,04	2781,53	1951,15	928,44	0	0	0	98,06	196,12	0	0
275	2071,04	4715,23	793	3972,24	0	10,01	10,01	40	80	0	0
276	594,68	1897,41	1329,25	742	1350	0	0	0	0	173,84	750
277	594,68	2126,87	936,57	1312,57	675	0	0	0	0	122,27	375
278	594,68	1247,07	584,33	740	1350	0	0	0	0	77,26	750
279	594,68	944	-2	946	2,01	0	0	0	0	0	2,01
280	594,68	1860,53	1614,21	367	675	0	0	56,3	112,59	64,39	375
281	594,68	5111,16	4756,22	942,96	0	5,47	5,47	0	0	582,54	0
282	431,2	41590,83	55253,77	-2	0	13335,94	13335,94	0	0	325	0
283	431,2	1727,59	25,3	1703,75	1350	0	0	1,47	2,93	0	750
284	431,2	3290,31	3503,68	-10	0	27,74	27,74	175,63	351,27	0	0
285	431,2	14494,88	15050,35	2819,07	0	2621,82	2621,82	752,72	1505,44	0	0
286	431,2	1806,18	927,04	928,38	0	0	0	45,11	90,23	4,13	0
287	431,2	7549,39	8207,58	-8	0	239,51	239,51	410,68	821,36	0	0
288	516,73	2108,59	271,74	1872,56	0	0	0	0	0	35,72	0
289	516,73	2873,16	1591,33	1490	2700	0	0	0	0	208,17	1500
290	516,73	8228,02	9004,5	-8	0	318,1	318,1	450,38	900,75	0	0
291	516,73	1748,5	914,67	953	0	0	0	0	0	119,17	0
292	516,73	9344,91	9430	951	0	539,49	539,49	171,6	343,2	325	0
293	516,73	4067,41	2436,18	1900	0	0	0	30,44	60,88	238,33	0
294	516,73	953,01	-2	955,01	2,01	0	0	0	0	0	2,01
295	516,73	2106,6	2224	-6	0	0	0	111,4	222,8	0	0
296	516,73	806	498	373	675	0	0	0	0	65	375
297	434,38	2551,44	2687,88	-2	0	0	0	134,44	268,89	0	0
298	434,38	2882,65	-3	2885,65	6,04	0	0	0	0	0	6,04
299	434,38	3647,37	4098,51	-6	0	0	0	55,2	110,4	389,94	0
300	434,38	1907,89	-1	1908,89	1,01	0	0	0	0	0	1,01
301	434,38	2002,66	1426,11	746	1350	0	0	10,21	20,42	159,24	750
302	434,38	3787,13	4078,16	-6	0	80,87	80,87	204,16	408,32	0	0
303	434,38	2691,6	475,82	2239,92	675	0	0	24,14	48,28	0	375
304	731,99	1517,07	1603,44	-6	0	0	0	80,37	160,74	0	0
305	731,99	2801,22	2188,93	746	1350	0	0	94,53	189,05	39,18	750
306	731,99	1283,36	618,25	746	1350	0	0	0	0	80,89	750
307	731,99	10018,96	11018,59	-10	0	400,97	400,97	527,76	1055,51	60,9	0
308	731,99	2385,91	112,66	2280,64	1648,51	0	0	5,1	10,21	2,29	1348,51
309	731,99	3500,47	3695,59	-10	0	0,04	0,04	185,08	370,16	0	0
310	876,69	1384,27	674,18	744	1350	0	0	33,91	67,82	0	750
311	876,69	3435,38	2631,77	935,4	0	0	0	131,79	263,58	0	0
312	876,69	1243,59	1313,41	-4	0	0	0	65,82	131,64	0	0
313	876,69	1681,09	344,63	1354,04	720,64	0	0	17,58	35,16	0	420,64
314	876,69	996,71	1053,81	-2	0	0	0	51,18	102,37	3,91	0
315	876,69	2823,24	-4	2827,24	8,04	0	0	0	0	0	8,04
316	316,7	2464,47	1855,61	746	1350	0	0	65,3	130,61	71,83	750
317	316,7	2513,49	2671,19	-10	0	0	0	125,45	250,91	22,25	0
318	316,7	4800,22	5073,68	-6	0	8,93	8,93	250,91	501,81	7,61	0
319	316,7	2904,52	989,62	2045,37	2025	0	0	0	0	130,47	1125
320	316,7	2618,99	1464,37	1345,51	675	0	0	0	0	190,89	375
321	657,94	848,92	503,23	371	675	0	0	25,31	50,62	0	375
322	657,94	2077,58	1408,45	740	1350	0	0	70,87	141,75	0	750
323	657,94	367	-4	371	675	0	0	0	0	0	375
324	657,94	3167,03	1342,52	1892,04	0	0	0	67,53	135,05	0	0
325	657,94	4011,09	4254,34	-6	0	24,34	24,34	212,92	425,83	0	0
326	657,94	3957,73	4328,73	-10	0	0	0	126,74	253,47	234,26	0
327	657,94	947,16	-2	949,16	2,01	0	0	0	0	0	2,01
328	657,94	3006,09	1988,78	1117	2025	0	0	99,69	199,38	0	1125
329	657,94	1427,42	1212,28	373	675	0	0	0	0	157,86	375
330	430,72	-12	-6	-6	0	0	0	0	0	0	0
331	430,72	734	-8	742	1350	0	0	0	0	0	750
332	430,72	734	-8	742	1350	0	0	0	0	0	750
333	430,72	1935,98	1354,14	746	1350	0	0	7,59	15,18	156,57	750
334	430,72	-16	-8	-8	0	0	0	0	0	0	0
335	430,72	2831,34	950,44	1880,9	0	0	0	0	0	0	0
336	430,72	3939,72	4231,06	-6	0	0	0	165,6	331,2	119,74	0
337	430,72	6419,04	7284,97	-10	0	458,01	458,01	3,35	6,69	394,58	0
338	430,72	1121,23	397,35	744	1350	0	0	20,12	40,24	0	750
339	589,81	941,45	-1	942,45	1,01	0	0	0	0	0	1,01
340	589,81	3603,57	2994,61	939,5	0	5,54	5,54	0	0	325	0
341	589,81	2081,43	2199,72	-8	0	0	0	110,29	220,57	0	0
342	589,81	1644,55	946	746	1350	0	0	47,45	94,9	0	750
343	589,81	2217,21	1159,96	1117	2025	0	0	57,47	114,95	2,27	1125
344	589,81	4177,29	187,91	4015,37	3426,93	0	0	0	0	25,99	2826,93
345	589,81	2485,94	1833,83	744	1350	0	0	91,89	183,78	0	750
346	589,81	2776,45	1749,37	1115	2025	0	0	87,92	175,84	0	1125
347	674,79	2877,98	3209,89	-6	0	0,91	0,91	0	0	325	0
348	674,79	658,33	300,4	373	675	0	0	15,07	30,14	0	375
349	674,79	948,4	-2	950,4	2,01	0	0	0	0	0	2,01
350	674,79	2091,58	21,49	2071,77	2025	0	0	1,67	3,35	0	1125
351	674,79	2457,86	1835,73	736	1350	0	0	79,04	158,08	34,83	750
352	674,79	1664,09	1361,26	371	675	0	0	68,16	136,33	0	375
353	674,79	3251,66	1329,07	2056,4	2025	0	0	25,09	50,17	108,73	1125
354	674,79	2299,09	2428,78	-8	0	0	0	121,69	243,38	0	0
355	548,98	3121,37	3471,07	-8	0	16,7	16,7	0	0	325	0
356	548,98	1917,3	-4	1921,3	8,04	0	0	0	0	0	8,04
357	548,98	1991,54	698,26	1328,44	675	0	0	35,16	70,33	0	375
358	548,98	2585,68	2734,92	-10	0	0,45	0,45	136,2	272,4	2,59	0
359	475,71	1707,11	-6	1713,11	1368,09	0	0	0	0	0	768,09
360	475,71	766,99	27,32	744	1350	0	0	0	0	4,33	750
361	475,71	1114,82	392,81	742	1350	0	0	19,99	39,98	0	750
362	475,71	1628,61	355,83	1319,56	675	0	0	0	0	46,78	375
363	475,71	585,66	223,91	373	675	0	0	11,25	22,49	0	375
364	475,71	2516,85	537,75	2050,57	2025	0	0	0	0	71,47	1125
365	623,36	2554,6	1489,03	1140,12	0	0	0	74,55	149,1	0	0
366	623,36	2428,95	2563,32	-6	0	0	0	128,37	256,73	0	0
367	623,36	2070,33	1398,51	742	1350	0	0	70,18	140,35	0	750
368	623,36	11667,11	11092,21	2009,79	0	880,18	880,18	554,71	1109,42	0	0
369	623,36	1131,09	-6	1137,09	2043,09	0	0	0	0	0	1143,09
